Recency,Frequency,Monetary
423,9,132.8
188,150,3670.74
523,76,3070.54
690,23,211.95
2,1135,39918.19
32,841,16249.289999999999
29,167,3928.0499999999997
17,708,12372.75
54,61,1149.6399999999999
16,514,14083.91
23,564,20276.37
4,36,680.99
11,31,527.2
28,242,5464.85
23,380,12185.51
576,204,23691.4
17,138,5097.18
33,471,6354.1
529,34,708.1
432,49,1037.28
731,2,285.3
10,55,1298.66
336,15,334.93
5,462,9823.64
39,26,460.40000000000003
63,42,715.21
166,22,433.74
16,108,1815.27
641,17,357.4
620,10,45.34
82,57,6248.5
21,23,403.70000000000005
560,27,393.71999999999997
23,146,5955.21
337,149,2169.39
96,147,3723.87
584,2,1126.0
18,20,779.05
409,42,955.2
233,23,73.5
134,49,1844.06
26,68,397.88
284,7,176.5
143,145,5178.02
429,190,3084.02
66,31,132.18
113,35,612.29
267,84,1597.76
353,16,383.7
78,74,2648.62
28,279,2481.6
1,124,2056.89
64,39,716.54
79,152,2634.2599999999998
143,38,599.68
39,12,192.72
19,249,4352.35
9,240,11126.11
498,60,973.73
1,71,1316.66
82,32,735.51
9,92,1933.48
528,21,316.48
60,158,3759.26
15,127,1933.2
30,16,349.83000000000004
628,72,1367.89
131,63,1089.18
92,34,716.35
43,261,12601.830000000002
409,43,732.94
29,34,640.45
22,504,11214.75
20,771,22254.49
30,52,981.18
484,39,481.88
448,43,980.25
36,19,372.7
75,50,1000.39
47,69,1161.5
198,21,383.58
166,5,95.19999999999999
576,49,1575.68
79,57,964.83
358,10,168.0
39,20,437.82
8,238,4608.75
449,26,468.5
682,1,129.23
50,119,599.56
16,53,18096.14
8,11,269.96
311,21,561.71
5,105,2134.0099999999998
303,16,238.85
8,207,4966.92
409,13,249.24
261,21,456.9
289,9,145.92
86,19,351.65
23,556,11767.48
645,5,70.0
2,188,4124.69
682,1,77.52
40,34,519.61
9,60,1020.4200000000001
227,119,717.41
316,11,218.45000000000002
457,38,622.82
36,142,2142.72
35,298,1617.1
21,172,4642.45
78,29,440.42
247,58,1052.9
40,15,197.71
239,103,1980.4
3,446,13591.58
4,96,2338.15
234,87,2040.1
17,94,2062.67
8,4,144.0
39,46,958.78
29,180,4695.66
211,68,9864.26
317,68,1338.95
92,81,2582.66
109,21,418.09999999999997
38,199,5090.11
505,19,299.02
51,27,618.27
19,206,3811.22
10,206,4534.09
29,133,2296.72
29,130,4967.42
190,34,681.26
59,12,153.12
22,2,739.1999999999999
79,16,254.18
376,76,1232.95
682,1,21.0
60,101,1579.51
405,16,415.79
78,175,3435.86
23,106,2099.54
52,65,1193.32
74,19,704.04
57,326,6817.37
278,20,315.6
2,270,5740.98
95,54,1131.1
29,41,352.98
22,11,177.31
16,100,3781.38
15,92,1339.41
2,756,24311.2
232,11,180.1
276,173,3747.84
106,38,641.13
212,183,5164.88
23,294,6620.48
11,230,4478.53
4,41,786.46
386,45,1558.22
10,64,1270.88
57,183,3481.57
521,35,804.88
59,306,5678.16
536,20,490.0
90,179,2930.41
739,1,141.0
67,614,8283.81
33,48,921.49
239,64,1312.3700000000001
24,53,1174.58
115,10,185.9
25,47,1013.26
128,51,8304.82
130,111,1918.49
34,160,3539.3
5,45,1346.97
22,515,16955.55
155,65,1112.0
107,118,2294.65
3,20,314.44
335,30,377.75
331,51,1017.03
149,86,4160.83
11,38,601.98
424,16,261.35
17,247,6407.83
11,47,1643.18
19,36,686.05
30,5,91.68
11,13,245.1
436,11,162.0
1,391,6726.54
625,10,239.4
8,45,6070.04
325,17,313.6
394,31,1248.42
58,33,620.13
12,536,11383.03
151,101,2744.0299999999997
10,115,3760.29
606,45,2622.481
330,22,437.05
5,74,1230.02
39,83,1970.6
554,112,957.25
25,107,2843.09
555,21,395.1
42,376,34281.18
59,48,1113.02
1,53,880.81
15,1424,29834.76
4,989,22950.22
4,487,11633.7
8,105,2283.63
28,157,2863.08
372,7,89.14
481,126,2138.91
114,171,4873.8099999999995
26,72,1247.61
206,16,389.01
28,39,1170.4
637,13,110.95
127,79,1703.02
70,83,1843.35
7,59,1407.1200000000001
435,49,851.91
29,41,957.59
590,16,339.75
418,41,638.11
8,268,4939.99
80,147,2446.41
20,12,219.0
71,74,1006.53
7,88,2340.84
15,599,11762.1
292,33,603.42
30,296,5117.66
15,490,30291.76
97,77,1149.02
612,60,1339.05
29,256,6723.03
1,38,848.55
9,696,14093.710000000001
106,20,343.36
4,69,1053.49
151,71,1308.91
71,19,238.25
5,39,644.95
3,479,7787.28
32,239,4013.08
85,53,997.63
4,69,725.07
5,129,2317.52
371,106,2266.76
28,179,4014.6
11,203,5679.53
71,61,1070.17
114,26,453.01
522,47,829.25
24,393,25775.71
180,12,236.26000000000002
234,157,2424.87
353,19,639.65
315,43,779.5699999999999
333,4,234.0
499,2,3710.5
372,11,155.35
78,89,2726.73
64,27,427.6
529,16,406.07
626,67,1201.52
134,131,540.13
52,339,25317.06
487,23,925.41
541,17,254.55
2,249,8898.48
1,6585,53539.64
4,338,6897.36
129,15,275.88
445,62,268.27
81,53,4366.78
23,197,21429.39
236,63,3010.74
281,63,5236.26
87,4,112.08
16,364,7834.650000000001
117,313,9903.24
52,302,5020.74
456,21,347.8
458,27,782.95
8,69,1898.52
138,18,494.08
317,45,1693.88
472,68,1404.58
4,402,8918.99
376,43,949.82
451,10,168.69
239,32,1143.6
211,28,3246.45
486,15,282.3
60,55,892.47
564,6,124.25
536,6,98.7
17,81,1686.1200000000001
668,4,55.5
458,26,519.45
20,114,1775.6799999999998
38,269,6474.11
599,20,337.4
64,25,826.74
5,227,4618.24
2,84,2225.91
9,129,1763.15
364,56,1100.4
610,18,728.5
10,44,862.18
463,26,444.90000000000003
65,8,273.35
192,37,591.85
374,28,863.51
257,47,827.01
335,44,885.53
53,45,860.41
19,14,430.48
628,7,381.0
366,30,552.08
10,33,8510.93
529,15,219.35
470,34,584.25
501,50,1071.82
187,138,2416.42
393,55,1092.81
466,66,325.37
382,58,1434.95
435,67,2878.96
383,16,330.34999999999997
37,47,776.7
178,81,1755.94
535,32,534.99
261,56,1033.9
45,15,229.64000000000001
502,45,1687.8
102,2,125.92
148,47,1063.46
96,29,572.2
281,25,690.98
262,14,1542.08
458,19,540.52
3,159,2689.52
214,13,220.8
71,46,948.88
75,18,6501.5
60,25,397.12
521,24,518.63
3,157,2800.75
6,25,430.15
3,56,1018.71
337,19,385.3
38,38,6814.64
262,22,451.11
32,27,383.03000000000003
145,24,417.38
283,18,312.38
428,615,5996.83
59,411,6559.7300000000005
173,88,662.66
34,356,2975.91
3,554,9669.12
144,176,4041.97
5,644,6958.2
70,48,1917.99
66,219,6583.36
29,103,648.6
267,27,354.09000000000003
682,1,15.58
22,119,1609.0
676,16,208.0
31,144,3042.4700000000003
446,2,330.0
97,77,280.76
295,17,311.55
135,148,3907.5
79,261,2970.9700000000003
373,67,612.84
8,311,2170.78
211,121,3688.0
383,37,147.27
459,21,575.1
693,16,54.22
620,4,68.25
426,131,984.62
52,48,2792.55
138,7,299.57
26,195,3323.47
283,63,1227.35
26,1050,7829.26
186,134,2043.76
682,37,337.66999999999996
375,93,1676.95
84,18,744.02
327,394,3283.96
282,35,2027.3
385,48,948.42
143,8,1356.9900000000002
58,170,4081.79
4,274,2942.14
236,47,854.99
45,10,573.22
382,36,640.13
276,7,298.0
9,13,1463.04
25,42,703.47
88,7,309.05
63,71,1175.22
68,82,1378.4
384,13,222.4
214,5,354.12
381,25,385.46000000000004
24,135,706.02
186,11,840.5
397,18,263.38
31,31,176.55
575,21,157.35
42,22,372.8
205,14,514.25
464,27,296.21
414,17,366.4
422,13,340.33000000000004
9,116,17654.54
265,10,138.68
429,41,833.5300000000001
18,71,496.06
577,54,1018.42
12,63,2919.81
396,25,508.91
176,5,1776.0
40,157,3088.34
23,137,5796.52
552,236,1651.72
3,24,1662.3
5,92,6283.24
401,9,223.98
149,60,975.1
139,172,4479.73
128,50,4359.2
626,1,10953.5
8,50,1335.19
17,59,486.64
9,1499,35233.24
161,28,405.38
64,60,770.42
88,74,2469.4
5,50,729.3299999999999
411,262,1523.97
395,11,197.31
35,179,4304.89
312,8,117.85
78,25,415.8
22,217,91810.34
539,95,1698.56
24,289,1636.6299999999999
737,2,181.65
2,254,4243.86
17,62,1063.9
15,217,3097.61
26,9,114.14
64,86,25264.8
55,96,899.69
724,27,377.49
131,70,675.6
558,25,496.5
36,30,604.51
288,51,900.11
437,20,324.45
144,97,1603.99
16,125,2317.43
31,715,15526.7
2,23,1843.0
9,194,3213.7200000000003
6,79,1387.79
10,48,828.8100000000001
639,10,162.45
1,180,4757.16
306,42,521.89
10,490,8706.97
400,49,467.34
484,8,150.95
414,70,1322.0700000000002
379,40,211.99
7,16,266.39
8,174,3235.79
437,26,132.24
89,108,769.8100000000001
10,10,160.18
358,65,2938.52
112,5,135.95
603,5,122.45
7,345,1453.6
4,407,15704.6
414,77,1161.2
414,6,385.55
198,32,408.95
437,112,2100.09
212,154,3156.38
156,58,513.88
385,163,2502.82
729,56,517.7
158,52,16245.78
30,20,372.21999999999997
243,178,2744.81
598,30,490.08
19,4,97.5
1,76,1239.38
429,102,2729.84
74,66,1312.21
292,83,505.82
3,97,13551.75
31,27,955.5
23,45,764.82
725,6,93.35
23,76,1259.6299999999999
4,61,974.42
85,3,211.32
376,22,355.5
22,107,2110.91
493,58,920.08
196,28,455.88
107,62,1032.5
4,1015,24042.65
318,23,414.13
106,6,149.05
12,815,11650.85
174,56,999.68
56,4,81.57
580,11,175.25
323,35,612.13
673,4,234.0
374,12,330.12
372,3,50.550000000000004
9,153,2957.83
1,487,11097.43
11,224,5381.08
53,348,6579.78
73,47,789.89
7,1,204.0
16,603,9763.16
379,55,1229.95
563,39,618.96
4,257,4887.24
430,5,65.3
64,76,1449.03
471,31,555.87
732,13,323.39
1,82,1733.08
114,85,17239.2
23,45,661.3199999999999
31,17,1927.3
11,92,752.4399999999999
407,407,3292.84
52,207,2815.96
357,13,220.55
55,44,756.8199999999999
74,42,1364.2
685,6,307.1
138,232,3914.95
80,28,908.46
584,55,1010.73
9,43,676.99
451,35,799.13
598,184,1488.59
273,13,516.42
291,416,4848.05
99,45,808.92
31,56,949.25
32,378,8428.53
14,265,4049.13
64,26,1408.24
15,984,11986.52
579,4,155.8
212,248,3119.33
622,17,127.65
78,154,2321.11
551,19,209.48
530,40,709.59
25,8,271.40000000000003
250,198,2291.77
254,15,307.53000000000003
72,10,248.61
191,11,346.98
481,12,188.4
13,93,1666.84
373,62,1055.05
24,48,470.8
82,32,508.51
10,2,344.0
1,1038,9284.45
192,33,751.7
612,12,129.22
267,7,177.15
411,27,418.08
511,29,1378.74
130,22,919.61
458,9,135.4
1,330,2740.65
3,791,29018.06
4,17,419.18
179,19,280.73
12,2280,56838.37
126,129,7335.75
4,22,395.43
492,2,122.39999999999999
158,84,2433.28
383,47,439.33000000000004
726,15,313.64
417,20,236.11
3,3315,113416.91
9,274,13091.74
28,45,2321.82
71,105,2140.28
276,1037,54144.25
21,29,2209.44
71,6,74.39999999999999
394,1,419.7000000000001
33,1004,13324.1
1,572,28882.44
99,1,207.36
234,51,695.4
1,481,11380.1
40,33,709.64
3,30,1709.1
436,1,72.0
133,16,603.46
44,178,5253.07
373,35,748.4599999999999
60,70,1134.03
31,252,2957.4700000000003
719,12,321.88000000000005
541,2,20.599999999999998
1,377,18230.07
731,16,234.38
12,314,5494.7
138,30,501.14
22,162,2255.66
20,148,2415.41
669,11,134.9
239,1,30.6
269,50,283.73
94,55,922.39
473,45,506.75
90,283,4641.66
524,20,148.62
5,238,3774.81
78,15,259.17
631,1,263.5
452,11,233.25
94,2,64.0
23,149,3313.77
262,3,77.3
274,12,200.45
86,121,2475.23
197,18,3371.45
56,315,6274.56
11,1394,7586.94
22,85,1274.01
16,265,8202.98
108,105,1054.92
85,424,7656.08
19,23,307.09000000000003
585,23,405.1
333,6,135.35
40,9,1128.52
26,17,228.91
10,4,712.8
29,763,8497.82
14,86,1676.06
484,8,449.96999999999997
296,158,2465.21
417,135,2146.38
6,15,486.22
399,93,1624.84
33,112,1370.48
385,104,1586.54
49,251,5687.36
95,100,1508.18
9,120,1429.35
22,4,91.8
313,33,472.13
122,238,9275.49
610,2,17.65
569,10,372.2
46,49,1451.1599999999999
283,68,875.93
19,81,1125.15
36,173,1840.73
64,18,840.08
27,30,108.81
22,46,468.41
400,1,69.6
4,216,2399.82
16,938,7995.36
582,46,831.45
46,67,481.49
65,30,512.2
26,687,14059.19
619,34,572.3100000000001
607,4,86.10000000000001
381,19,359.69
45,11,121.18
8,156,7036.18
15,179,1668.95
268,1,71.4
40,79,1575.89
337,56,341.36
11,2,114.6
19,29,260.68
544,17,570.66
658,59,164.69
95,162,2558.58
61,25,112.08
136,10,472.78
414,46,136.73
11,188,3068.84
610,19,373.01000000000005
10,314,4974.2300000000005
4,203,15964.210000000001
19,46,870.09
502,86,1233.06
394,69,1580.3
10,169,2648.25
731,57,966.6600000000001
443,1,2803.2
400,566,8308.19
15,13,535.86
59,252,1976.3
30,366,8509.51
94,22,353.48
10,201,2618.77
20,141,786.83
57,204,3851.52
418,229,3264.23
402,1,81.6
268,5,333.74
122,5,666.48
127,5,62.63999999999999
618,11,76.23
78,53,1336.09
240,66,847.41
577,1,88.5
200,13,969.12
60,108,2155.95
3,125,16260.07
273,28,312.46
202,9,257.7
81,2,358.0
226,10,160.95
4,1251,6120.01
13,202,1328.35
74,76,1176.46
673,61,346.5
212,58,1031.07
25,36,744.85
388,24,643.0
17,47,1006.63
262,93,1594.69
96,201,1475.79
412,40,112.53
112,35,699.4
203,205,1220.38
93,27,121.74000000000001
51,45,989.22
18,371,3351.75
18,25,501.12
125,26,465.68
92,35,1608.9299999999998
461,19,253.09
402,25,252.68
394,19,399.3
157,75,2951.11
376,4,51.41
9,26,678.76
436,7,149.75
12,44,1009.43
62,313,1402.54
61,8,557.62
269,9,944.1
263,50,573.45
1,1905,8676.2
443,38,722.5600000000001
53,90,2092.66
11,307,6135.04
3,411,9429.81
18,433,3174.75
1,486,8537.32
366,1,590.0
37,87,211.49
31,15,276.56
113,16,138.98
409,19,360.85
384,48,238.86
64,239,1891.91
16,23,523.3
41,108,1435.85
78,9,137.75
122,205,2293.33
439,22,350.85
18,51,1313.19
60,20,373.36
331,13,201.19
23,231,3364.59
600,49,734.91
603,53,781.59
443,10,927.61
724,16,307.95
438,1,208.63
156,318,3270.79
39,59,994.51
392,72,1192.94
190,102,1689.53
360,67,1101.97
137,53,792.51
8,123,4368.62
1,2,360.0
268,62,1218.7
169,55,1285.51
104,81,618.09
155,3,159.2
400,4,61.72
351,78,1217.99
4,200,3616.41
430,4,53.65
120,15,273.34
23,71,1670.3700000000001
7,130,1706.37
28,95,1541.2
4,26,598.57
451,5,124.75
22,187,3445.32
2,62,775.94
689,22,310.26000000000005
37,173,12940.82
66,344,6486.091
1,20,640.76
5,923,21323.22
78,149,2211.6
72,11,567.36
17,25,199.48000000000002
3,21,787.85
36,132,10513.47
82,12,675.3
432,13,281.76
39,321,9134.48
316,17,1308.48
32,118,4808.7699999999995
93,117,2796.1
402,12,262.4
14,21,350.9
411,55,1015.74
82,474,6201.8
77,51,795.12
546,87,1575.26
158,128,2445.62
201,54,860.12
45,215,22100.56
261,42,775.85
178,19,353.43
68,116,2511.69
288,20,389.5
463,6,299.4
70,8,341.35999999999996
64,14,233.76000000000002
11,16,247.32
16,40,979.12
66,16,373.94
60,24,397.97999999999996
71,51,743.53
122,32,674.7
80,42,768.24
257,394,3805.51
269,29,439.03
64,56,1043.31
432,66,1553.65
472,34,1450.5
9,298,5394.07
18,102,1723.8600000000001
71,10,134.96
34,128,2225.37
50,1,56.16
432,20,510.2
257,52,1121.5
366,14,308.28000000000003
372,39,754.87
505,92,2297.66
90,23,378.64
61,358,7587.19
415,17,422.8
89,71,1792.23
99,53,1019.76
397,78,1552.88
26,97,572.56
433,3,62.4
32,356,8224.37
281,86,1387.58
544,1,305.28000000000003
31,264,6680.83
330,35,534.57
414,31,835.46
417,71,186.94
131,69,1185.65
11,51,797.96
75,13,544.08
204,1,59.8
677,8,91.14
584,69,1131.45
2,409,6621.7
185,81,1180.23
29,43,1360.99
73,89,3191.87
192,39,670.34
464,15,275.4
583,23,310.83
127,79,1226.85
18,9,229.5
1,11,252.49
74,43,1213.811
427,9,568.92
579,85,2244.7
2,826,50174.782
24,50,2201.96
107,18,213.55
620,34,487.35
640,43,429.44
134,55,2494.14
473,101,784.17
44,26,940.8000000000001
5,77,1669.49
12,537,11559.66
64,16,221.06
150,8,159.85
40,265,4058.75
64,127,2626.3
429,12,217.03
450,40,572.77
108,177,3390.4300000000003
1,343,8167.38
19,52,1006.53
10,138,478.54
11,67,1006.8
19,49,679.4499999999999
67,129,3316.2400000000002
571,111,439.1
501,24,658.32
74,35,1666.8600000000001
5,149,4447.33
2,12,196.89
14,167,3408.06
547,1,46.5
255,167,986.61
423,59,1295.25
92,38,720.9
667,38,419.87
449,200,1273.16
374,57,619.08
626,7,241.89999999999998
430,192,3881.89
23,59,1129.14
17,533,8745.93
24,19,291.88
27,147,4120.04
26,1022,7090.06
259,3,729.8
166,40,781.6899999999999
641,23,219.87
25,114,2212.9900000000002
18,63,1766.72
689,9,148.22
7,485,11959.27
625,73,1160.4099999999999
29,17,183.44
39,62,4160.0
253,71,1153.8500000000001
58,151,3097.64
446,34,931.12
184,55,1013.35
11,98,1071.91
2,693,12793.28
653,6,82.4
99,10,165.0
1,254,2501.84
464,28,592.24
61,70,2657.76
236,126,646.59
191,86,1431.78
179,106,2061.47
38,157,2819.17
469,125,2215.78
201,53,851.37
417,41,627.82
46,224,3830.84
232,20,336.09
66,10,140.34
241,39,790.72
233,158,3019.2200000000003
78,69,1122.41
58,49,846.87
17,679,14205.96
105,14,449.52
654,8,154.25
52,261,4467.66
136,50,1269.84
275,8,618.63
312,18,316.26000000000005
8,133,4863.31
11,35,653.33
283,58,1166.83
730,17,327.38
18,42,1159.1100000000001
23,85,1466.3
288,114,2885.11
17,33,780.5
71,189,1859.24
64,22,295.93
73,215,4393.63
316,81,1338.08
3,162,2479.16
244,28,287.05
9,49,1114.72
1,289,4558.29
677,5,282.76
261,39,713.39
127,40,824.59
74,21,815.9000000000001
73,76,1265.82
21,61,1685.26
60,141,2128.42
86,36,627.16
78,19,343.21
59,199,6606.0
1,418,1071.73
30,5,125.80000000000001
33,201,4534.57
41,27,680.1800000000001
15,6,628.78
738,44,1182.0
34,443,4541.29
79,15,307.76
634,18,402.98
205,75,1433.07
34,66,210.31
183,75,269.09
2,392,7720.9
403,1,89.5
1,178,3444.39
426,42,717.85
43,142,3103.13
86,86,1569.36
467,32,632.39
427,10,785.25
377,331,3959.4900000000002
634,47,1439.61
40,238,790.2
391,54,364.93
12,152,1086.24
408,44,167.08
96,184,901.44
26,59,1005.8000000000001
383,42,342.55
319,5,244.2
66,207,6948.92
675,89,499.6
380,196,1629.35
74,397,8891.84
429,9,200.82
28,180,3032.26
6,169,594.52
513,2,990.0
7,32,171.42000000000002
216,229,1803.4
82,196,4838.18
84,49,777.53
144,1200,16498.97
19,60,414.8
41,366,1688.6
428,201,1079.29
173,43,187.05
17,179,726.54
243,27,239.49
13,673,4537.26
206,33,1384.25
50,87,904.52
411,91,404.45
23,46,732.0699999999999
10,268,11202.59
25,168,3489.28
409,9,147.66
15,81,1374.34
406,5,107.75
309,33,280.53000000000003
390,11,241.68
156,96,1445.031
307,80,385.7
531,39,684.54
541,20,127.28
64,30,1673.5
16,174,2478.95
15,52,1120.74
11,406,6336.04
65,101,2093.94
36,16,247.95999999999998
108,408,5493.29
53,33,533.32
517,143,784.48
6,146,664.11
400,17,396.71
47,92,761.96
1,392,9811.04
312,41,518.42
45,185,1159.99
65,58,1025.17
26,27,164.34
659,21,717.62
387,53,522.67
29,40,276.75
40,121,1075.81
541,34,232.05
593,7,167.35
12,399,2103.71
89,226,3297.9300000000003
633,50,818.29
453,59,1039.8500000000001
24,264,2332.74
319,367,6272.53
568,35,283.85
40,107,1278.75
174,13,177.34
545,45,224.94
528,5,112.34
117,19,213.85
696,32,658.95
31,284,2533.06
388,22,462.08
597,21,301.26
253,44,707.04
59,129,2245.9
676,16,310.14
23,87,13370.86
5,71,2031.78
100,11,3070.42
25,220,3645.81
33,446,5033.77
68,162,2999.16
37,63,949.12
52,99,804.3
16,8,122.64
74,59,1346.27
611,4,405.0
641,44,1016.47
216,105,472.2
31,102,2156.77
16,146,2624.26
120,5,252.1
400,58,326.25
10,139,3041.68
400,106,1764.02
257,108,1453.68
17,172,3288.0
35,14,226.85
46,141,2262.05
488,9,152.2
43,329,6308.0
114,119,2280.51
165,87,1078.85
11,16,382.14
10,237,6025.5
206,274,4884.68
400,40,306.64
603,17,325.24
86,136,2233.61
179,99,2047.51
386,106,1711.6599999999999
60,19,127.9
149,83,299.05
3,756,12948.48
51,14,413.55
75,25,349.7
395,64,172.6
301,18,419.92
19,60,387.44
433,14,240.68
151,25,486.82000000000005
539,13,243.9
405,106,551.24
152,16,232.6
494,50,281.26
1,646,11419.67
18,57,827.83
187,3,59.5
458,10,258.6
286,108,594.88
3,39,3119.44
183,34,409.04
438,45,11880.84
635,5,375.5
63,9,1259.5
59,9,172.25
396,54,212.78
25,96,3114.4
374,106,2011.82
4,1519,195640.69
31,96,2770.73
422,24,2020.4
39,12,151.29999999999998
597,38,451.73
155,37,764.15
26,240,2596.97
447,9,161.0
446,5,135.18
318,37,425.56
5,134,2308.06
8,74,1717.19
303,38,631.17
267,155,3365.86
271,49,285.33
4,407,7571.35
32,15,509.52
219,92,1792.26
247,33,766.42
408,80,740.76
465,30,161.35
281,512,8153.04
269,21,138.28
32,124,1763.3
246,12,306.55
15,248,2783.08
117,43,799.9
36,42,741.54
132,189,5635.41
217,58,1194.08
637,42,213.01
50,104,1980.56
39,42,1079.66
29,83,1074.15
37,164,2855.17
436,39,724.73
136,43,752.6
219,38,610.59
28,33,491.86
411,29,487.03000000000003
509,27,6695.6900000000005
25,647,9762.77
5,554,2752.47
200,30,339.59999999999997
396,89,434.78000000000003
18,6,292.2
241,94,1582.77
72,34,668.4300000000001
17,313,3107.87
3,41,1341.6
95,63,1080.52
162,56,777.36
414,9,176.69
374,5,169.79999999999998
96,58,2064.35
54,75,3602.18
288,9,296.25
124,94,1579.83
288,80,2094.57
152,21,447.05
4,321,2108.06
2,343,8655.95
675,8,195.55
12,285,8698.13
33,25,659.4100000000001
54,119,1363.6399999999999
50,122,1952.17
219,35,2472.48
63,50,5217.44
71,370,2919.62
653,17,352.821
495,17,190.35
2,764,33903.57
727,33,875.97
2,275,5478.12
422,48,785.37
64,216,5728.82
34,567,3100.02
397,19,301.54
82,22,345.0
591,63,1049.66
428,2,623.98
1,356,49638.26
103,44,1124.49
516,27,161.13
7,98,732.07
251,57,778.83
13,238,1786.08
488,10,1542.09
10,43,2910.23
429,30,542.49
367,116,3127.99
76,86,1222.5
505,1,3.75
388,18,239.45999999999998
4,45,348.79999999999995
128,11,1516.0
66,23,383.95
647,7,96.0
547,9,126.03
388,29,836.3
499,22,289.7
437,78,1179.45
1,721,75428.87
117,106,2803.57
310,73,1679.56
67,23,324.8
139,448,26259.11
255,78,1338.91
31,167,3161.12
52,13,924.5999999999999
64,10,256.38
367,25,422.2
6,76,1747.66
305,25,679.6999999999999
29,35,1499.01
184,13,814.5
42,36,539.0
40,143,2765.4700000000003
92,79,2257.32
22,356,7475.74
24,28,571.67
29,24,382.98
430,5,61.28
302,101,2642.35
418,89,652.75
145,204,1379.08
6,96,632.0
19,163,3403.4500000000003
33,100,3314.76
622,40,255.59
176,10,189.5
58,92,409.8
22,15,209.49
421,1,102.0
582,11,156.85000000000002
16,182,6585.54
19,55,609.89
159,44,700.41
577,16,324.19
25,71,1095.27
399,31,620.37
212,18,266.59000000000003
6,403,1690.07
486,7,139.95000000000002
416,40,651.4
253,1,85.0
59,335,5319.34
381,18,319.75
11,20,361.62
65,9,312.98
25,81,1307.79
720,19,310.72
92,10,3015.0
52,220,3469.3
129,93,1595.48
96,140,4606.46
611,11,187.35000000000002
57,23,1090.1399999999999
9,178,11944.56
501,73,1310.34
169,54,1142.03
393,128,1001.01
57,11,216.17000000000002
326,36,515.86
1,76,1245.9
429,21,273.26
18,160,2556.09
248,70,1239.55
387,1,662.4000000000001
58,30,501.56
74,7,145.67
31,60,1005.09
7,33,3192.54
123,838,7996.87
2,241,5712.08
23,402,7885.85
527,57,919.57
120,60,1038.92
358,69,2049.15
54,270,4814.37
64,7,122.7
86,23,449.68
55,102,2416.9
646,25,395.5
21,223,4293.86
4,457,45179.1
3,65,1191.13
11,316,6560.02
7,182,1825.03
189,28,506.8
71,16,243.56
204,19,349.55
120,171,2001.59
93,83,1991.23
1,173,2927.38
378,99,859.21
27,36,1267.6499999999999
298,21,821.1
24,27,564.62
28,186,4008.52
626,21,388.55
50,59,1160.72
326,46,686.4
16,19,388.52
183,95,1610.5900000000001
72,310,5676.34
632,63,34095.26
400,10,165.45000000000002
37,26,332.64
733,12,312.65
409,1,42.0
692,4,136.8
80,122,2369.55
423,38,282.85
57,238,4234.99
424,7,124.95
507,3,42.22
12,33,626.45
394,2,70.80000000000001
464,74,1275.81
50,18,272.04
50,30,1212.8400000000001
59,77,1360.68
432,86,1774.68
402,44,730.7
352,30,865.2
54,20,351.13
2,117,1838.8500000000001
93,41,678.25
23,11,223.85000000000002
75,41,708.26
11,27,464.57
169,57,3494.1
58,17,337.34
96,271,5257.38
295,16,307.4
109,23,608.79
264,31,922.1
597,80,6116.92
180,59,939.66
169,54,880.13
35,7,71.66
